"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","ensembl_id","SYMBOL","GENENAME","ENTREZID","significance","neg_log10_padj","label"
36.5494384517215,0.741782328362618,0.479499348859504,0.00863403544086755,0.0388377465676675,"ENSG00000085265","ENSG00000085265","FCN1","ficolin 1","2219","Upregulated",1.41074597654,"FCN1"
396.947025656021,0.789415011872519,0.883410478580477,0.00869285743040722,0.0390389861075871,"ENSG00000168079","ENSG00000168079","SCARA5","scavenger receptor class A member 5","286133","Upregulated",1.40850147004218,"SCARA5"
736.763273861666,0.283255976904703,0.11631741926784,0.00872471903451299,0.0391340727710103,"ENSG00000129245","ENSG00000129245","FXR2","FMR1 autosomal homolog 2","9513","Upregulated",1.40744495174327,"FXR2"
332.53857618115,0.431106022917574,0.199699457277199,0.00875386791172983,0.0392493870555366,"ENSG00000160179","ENSG00000160179","ABCG1","ATP binding cassette subfamily G member 1","9619","Upregulated",1.40616712109648,"ABCG1"
342.657592185323,0.484736403348974,0.238616070537304,0.00879271225318779,0.0394108017842592,"ENSG00000112297","ENSG00000112297","CRYBG1","crystallin beta-gamma domain containing 1","202","Upregulated",1.40438472963738,"CRYBG1"
1460.56832174346,0.218602075826174,0.0872407519781851,0.0088198400240908,0.0394813187641713,"ENSG00000185883","ENSG00000185883","ATP6V0C","ATPase H+ transporting V0 subunit c","527","Upregulated",1.40360834935506,"ATP6V0C"
1168.92710871713,0.232095511111854,0.0930335739785698,0.00883414229330369,0.0395325728262498,"ENSG00000198258","ENSG00000198258","UBL5","ubiquitin like 5","59286","Upregulated",1.40304492034252,"UBL5"
1018.55260465867,0.271533860850168,0.111242956073213,0.00885701379448529,0.0396221285273633,"ENSG00000155957","ENSG00000155957","TMBIM4","transmembrane BAX inhibitor motif containing 4","51643","Upregulated",1.40206219757945,"TMBIM4"
21.2263154112884,0.611703487208658,1.22541524699331,0.00887986508460276,0.0397115360463084,"ENSG00000187151","ENSG00000187151","ANGPTL5","angiopoietin like 5","253935","Upregulated",1.40108331405589,"ANGPTL5"
2222.00051934197,0.35056880950129,0.151879858576979,0.00888561098107588,0.0397244137376551,"ENSG00000162413","ENSG00000162413","KLHL21","kelch like family member 21","9903","Upregulated",1.40094250349453,"KLHL21"
846.780756139178,0.307646135453359,0.129168684131199,0.00891550877298914,0.039793892458891,"ENSG00000127920","ENSG00000127920","GNG11","G protein subunit gamma 11","2791","Upregulated",1.40018357805046,"GNG11"
6038.10520271411,0.271936422158629,0.111858842803672,0.00893157763197101,0.0398375894572958,"ENSG00000108518","ENSG00000108518","PFN1","profilin 1","5216","Upregulated",1.39970694828718,"PFN1"
649.803884530825,0.426257882470742,0.198621517061695,0.0089287372978919,0.0398375894572958,"ENSG00000183580","ENSG00000183580","FBXL7","F-box and leucine rich repeat protein 7","23194","Upregulated",1.39970694828718,"FBXL7"
191.453726871527,0.394277104129465,0.176161919971073,0.00897460782202551,0.0399581730432403,"ENSG00000169689","ENSG00000169689","CENPX","centromere protein X","201254","Upregulated",1.39839437668674,"CENPX"
1321.42341958931,0.402855702613462,0.183570207557578,0.00898957368264121,0.039982831087203,"ENSG00000135931","ENSG00000135931","ARMC9","armadillo repeat containing 9","80210","Upregulated",1.39812645779121,"ARMC9"
1170.16813136194,0.27585181126064,0.113718050679156,0.00900244125612489,0.0400143788866693,"ENSG00000109184","ENSG00000109184","DCUN1D4","defective in cullin neddylation 1 domain containing 4","23142","Upregulated",1.39778391994672,"DCUN1D4"
707.198512449899,0.267721875994044,0.109742423108441,0.00902644337678269,0.0401082009486474,"ENSG00000159593","ENSG00000159593","NAE1","NEDD8 activating enzyme E1 subunit 1","8883","Upregulated",1.39676681783879,"NAE1"
274.378206016125,0.461614170806605,0.219759596474125,0.00912774901689193,0.0405063956532518,"ENSG00000133794","ENSG00000133794","BMAL1","basic helix-loop-helix ARNT like 1","406","Upregulated",1.39247639956007,"BMAL1"
165.720389430739,0.456791229264998,0.216659456526991,0.00922759696417361,0.0408840365493868,"ENSG00000110721","ENSG00000110721","CHKA","choline kinase alpha","1119","Upregulated",1.38844623213506,"CHKA"
2067.70622968744,0.313090964071524,0.132696614135097,0.00923634563380205,0.0409097200827302,"ENSG00000103187","ENSG00000103187","COTL1","coactosin like F-actin binding protein 1","23406","Upregulated",1.38817349207194,"COTL1"
413.254167601493,0.348965416527142,0.151665337549006,0.00926973217826468,0.0409975239664188,"ENSG00000044446","ENSG00000044446","PHKA2","phosphorylase kinase regulatory subunit alpha 2","5256","Upregulated",1.38724237157765,"PHKA2"
