"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"6","1.96","KEGG_PATHWAY","Inflammatory mediator regulation of TRP channels","9","150","99","9375","3.32","1.70e-4","2.21e-2","5.68","4.48e-2","1.91e-2","2.75e-5","PRKCE,BDKRB2,ADCY4,PIK3R3,PLA2G4A,BDKRB1,ADCY1,ADCY8,NGF","hsa04750:Inflammatory mediator regulation of TRP channels"
"6","1.96","KEGG_PATHWAY","Relaxin signaling pathway","10","150","130","9375","3.69","2.18e-4","2.21e-2","4.81","5.70e-2","1.91e-2","4.21e-5","COL1A1,JUN,GNG2,ADCY4,PIK3R3,ADCY1,ADCY8,RXFP1,CREB5,VEGFA","hsa04926:Relaxin signaling pathway"
"6","1.96","KEGG_PATHWAY","Regulation of lipolysis in adipocytes","7","150","59","9375","2.58","3.28e-4","2.21e-2","7.42","8.45e-2","1.91e-2","3.97e-5","ADCY4,ADORA1,PIK3R3,PRKG2,ADCY1,ADCY8,PTGS2","hsa04923:Regulation of lipolysis in adipocytes"
"6","1.96","KEGG_PATHWAY","Gap junction","8","150","89","9375","2.95","5.16e-4","2.78e-2","5.62","1.30e-1","2.40e-2","8.42e-5","TUBA1A,TUBB3,TUBB,ADCY4,PRKG2,ADCY1,ADCY8,TUBA4A","hsa04540:Gap junction"
"6","1.96","REACTOME_PATHWAY","G alpha (z) signalling events","6","179","48","11610","2.21","8.04e-4","1.72e-1","8.11","4.97e-1","1.68e-1","8.86e-5","GNG2,PRKCE,ADCY4,ADCY1,ADCY8,ADRA2A","R-HSA-418597~G alpha (z) signalling events"
"6","1.96","KEGG_PATHWAY","cGMP-PKG signaling pathway","10","150","166","9375","3.69","1.29e-3","4.35e-2","3.77","2.94e-1","3.77e-2","3.21e-4","PRKCE,BDKRB2,ADCY4,ADORA1,PRKG2,PDE5A,ADCY1,ADCY8,ADRA2A,CREB5","hsa04022:cGMP-PKG signaling pathway"
"6","1.96","REACTOME_PATHWAY","Post NMDA receptor activation events","7","179","88","11610","2.58","2.29e-3","2.40e-1","5.16","8.59e-1","2.36e-1","4.09e-4","TUBA1A,TUBB3,CAMK4,NRG1,ADCY1,ADCY8,TUBA4A","R-HSA-438064~Post NMDA receptor activation events"
"6","1.96","KEGG_PATHWAY","Calcium signaling pathway","12","150","254","9375","4.43","2.38e-3","7.06e-2","2.95","4.73e-1","6.12e-2","7.58e-4","P2RX7,CCKAR,CAMK4,BDKRB2,ADCY4,BDKRB1,ADCY1,ADCY8,NGF,FGFR2,VEGFA,FGF10","hsa04020:Calcium signaling pathway"
"6","1.96","WIKIPATHWAYS","Major receptors targeted by epinephrine and norepinephrine","4","160","16","9015","1.48","2.55e-3","1.61e-1","14.09","7.01e-1","1.56e-1","1.47e-4","ADCY4,ADCY1,ADCY8,ADRA2A","WP4589:Major receptors targeted by epinephrine and norepinephrine"
"6","1.96","REACTOME_PATHWAY","Opioid Signalling","7","179","92","11610","2.58","2.86e-3","2.40e-1","4.94","9.14e-1","2.36e-1","5.36e-4","GNG2,CAMK4,PPP1R1B,ADCY4,PLA2G4A,ADCY1,ADCY8","R-HSA-111885~Opioid Signalling"
"6","1.96","REACTOME_PATHWAY","Ca-dependent events","5","179","39","11610","1.85","2.89e-3","2.40e-1","8.32","9.16e-1","2.36e-1","3.10e-4","CAMK4,ADCY4,PLA2G4A,ADCY1,ADCY8","R-HSA-111996~Ca-dependent events"
"6","1.96","REACTOME_PATHWAY","G alpha (i) signalling events","13","179","323","11610","4.80","4.11e-3","2.43e-1","2.61","9.70e-1","2.38e-1","1.49e-3","ADCY4,PLA2G4A,ADCY1,ADCY8,ADRA2A,AGT,CXCL12,GNG2,CAMK4,PPP1R1B,ADORA1,BDKRB2,BDKRB1","R-HSA-418594~G alpha (i) signalling events"
"6","1.96","REACTOME_PATHWAY","Vasopressin regulates renal water homeostasis via Aquaporins","5","179","43","11610","1.85","4.14e-3","2.43e-1","7.54","9.71e-1","2.38e-1","4.93e-4","GNG2,ADCY4,ADCY1,ADCY8,AQP3","R-HSA-432040~Vasopressin regulates renal water homeostasis via Aquaporins"
"6","1.96","REACTOME_PATHWAY","DAG and IP3 signaling","5","179","43","11610","1.85","4.14e-3","2.43e-1","7.54","9.71e-1","2.38e-1","4.93e-4","PRKCE,CAMK4,ADCY4,ADCY1,ADCY8","R-HSA-1489509~DAG and IP3 signaling"
"6","1.96","KEGG_PATHWAY","Circadian entrainment","7","150","97","9375","2.58","4.40e-3","1.04e-1","4.51","6.94e-1","8.97e-2","9.01e-4","RPS6KA5,GNG2,PER3,ADCY4,PRKG2,ADCY1,ADCY8","hsa04713:Circadian entrainment"
"6","1.96","REACTOME_PATHWAY","Activation of NMDA receptors and postsynaptic events","7","179","101","11610","2.58","4.55e-3","2.43e-1","4.50","9.80e-1","2.38e-1","9.37e-4","TUBA1A,TUBB3,CAMK4,NRG1,ADCY1,ADCY8,TUBA4A","R-HSA-442755~Activation of NMDA receptors and postsynaptic events"
"6","1.96","KEGG_PATHWAY","Aldosterone synthesis and secretion","7","150","98","9375","2.58","4.62e-3","1.04e-1","4.46","7.12e-1","8.97e-2","9.57e-4","PRKCE,CAMK4,ADCY4,ADCY1,ADCY8,AGT,CREB5","hsa04925:Aldosterone synthesis and secretion"
"6","1.96","REACTOME_PATHWAY","Neurotransmitter receptors and postsynaptic signal transmission","10","179","214","11610","3.69","5.72e-3","2.78e-1","3.03","9.93e-1","2.73e-1","1.77e-3","TUBA1A,GNG2,TUBB3,CAMK4,ADCY4,GRIK4,NRG1,ADCY1,ADCY8,TUBA4A","R-HSA-112314~Neurotransmitter receptors and postsynaptic signal transmission"
"6","1.96","KEGG_PATHWAY","Dilated cardiomyopathy","7","150","105","9375","2.58","6.46e-3","1.24e-1","4.17","8.25e-1","1.07e-1","1.44e-3","TGFB2,SGCD,ITGA11,ADCY4,ADCY1,ADCY8,AGT","hsa05414:Dilated cardiomyopathy"
"6","1.96","GOTERM_BP_DIRECT","adenylate cyclase-activating G protein-coupled receptor signaling pathway","8","256","165","19172","2.95","6.66e-3","2.95e-1","3.63","1.00e+0","2.93e-1","1.72e-3","GPR68,ADM2,ADCY4,S1PR1,ADCY1,ADCY8,RXFP1,ADRA2A","GO:0007189~adenylate cyclase-activating G protein-coupled receptor signaling pathway"
"6","1.96","REACTOME_PATHWAY","PLC beta mediated events","5","179","51","11610","1.85","7.62e-3","3.13e-1","6.36","9.99e-1","3.08e-1","1.09e-3","CAMK4,ADCY4,PLA2G4A,ADCY1,ADCY8","R-HSA-112043~PLC beta mediated events"
"6","1.96","REACTOME_PATHWAY","Aquaporin-mediated transport","5","179","53","11610","1.85","8.72e-3","3.24e-1","6.12","9.99e-1","3.18e-1","1.30e-3","GNG2,ADCY4,ADCY1,ADCY8,AQP3","R-HSA-445717~Aquaporin-mediated transport"
"6","1.96","GOTERM_MF_DIRECT","adenylate cyclase activity","3","259","11","19319","1.11","9.02e-3","3.82e-1","20.34","9.90e-1","3.82e-1","3.63e-4","ADCY4,ADCY1,ADCY8","GO:0004016~adenylate cyclase activity"
"6","1.96","KEGG_PATHWAY","Ovarian steroidogenesis","5","150","52","9375","1.85","9.19e-3","1.41e-1","6.01","9.16e-1","1.22e-1","1.39e-3","ADCY4,PLA2G4A,ADCY1,ADCY8,PTGS2","hsa04913:Ovarian steroidogenesis"
"6","1.96","KEGG_PATHWAY","Human T-cell leukemia virus 1 infection","10","150","224","9375","3.69","9.38e-3","1.41e-1","2.79","9.21e-1","1.22e-1","3.15e-3","TGFB2,CDKN2B,EGR2,JUN,ADCY4,PIK3R3,CD3G,ADCY1,ADCY8,CREB5","hsa05166:Human T-cell leukemia virus 1 infection"
"6","1.96","GOTERM_BP_DIRECT","renal water homeostasis","4","256","33","19172","1.48","9.45e-3","3.70e-1","9.08","1.00e+0","3.66e-1","9.37e-4","ADCY4,ADCY1,ADCY8,AQP3","GO:0003091~renal water homeostasis"
"6","1.96","REACTOME_PATHWAY","Adenylate cyclase activating pathway","3","179","10","11610","1.11","9.70e-3","3.31e-1","19.46","1.00e+0","3.25e-1","3.99e-4","ADCY4,ADCY1,ADCY8","R-HSA-170660~Adenylate cyclase activating pathway"
"6","1.96","KEGG_PATHWAY","cAMP signaling pathway","10","150","226","9375","3.69","9.91e-3","1.41e-1","2.77","9.31e-1","1.22e-1","3.35e-3","JUN,CAMK4,PPP1R1B,ADCY4,ADORA1,PIK3R3,SOX9,ADCY1,ADCY8,CREB5","hsa04024:cAMP signaling pathway"
"6","1.96","KEGG_PATHWAY","Cholinergic synapse","7","150","115","9375","2.58","9.93e-3","1.41e-1","3.80","9.32e-1","1.22e-1","2.42e-3","GNG2,CAMK4,ADCY4,PIK3R3,ADCY1,ADCY8,CREB5","hsa04725:Cholinergic synapse"
"6","1.96","REACTOME_PATHWAY","G-protein mediated events","5","179","56","11610","1.85","1.06e-2","3.34e-1","5.79","1.00e+0","3.28e-1","1.67e-3","CAMK4,ADCY4,PLA2G4A,ADCY1,ADCY8","R-HSA-112040~G-protein mediated events"
"6","1.96","GOTERM_BP_DIRECT","cAMP biosynthetic process","3","256","13","19172","1.11","1.25e-2","4.04e-1","17.28","1.00e+0","4.00e-1","6.09e-4","ADCY4,ADCY1,ADCY8","GO:0006171~cAMP biosynthetic process"
"6","1.96","REACTOME_PATHWAY","Neuronal System","14","179","422","11610","5.17","1.31e-2","3.99e-1","2.15","1.00e+0","3.92e-1","5.73e-3","KCND2,ADCY4,GRIK4,NRG1,ADCY1,ADCY8,TUBA4A,TUBA1A,GNG2,KCNS1,TUBB3,CAMK4,LRRTM2,SLITRK6","R-HSA-112316~Neuronal System"
"6","1.96","REACTOME_PATHWAY","Glucagon signaling in metabolic regulation","4","179","33","11610","1.48","1.38e-2","4.06e-1","7.86","1.00e+0","3.99e-1","1.58e-3","GNG2,ADCY4,ADCY1,ADCY8","R-HSA-163359~Glucagon signaling in metabolic regulation"
"6","1.96","KEGG_PATHWAY","Longevity regulating pathway","6","150","90","9375","2.21","1.41e-2","1.81e-1","4.17","9.78e-1","1.57e-1","3.13e-3","CAMK4,ADCY4,PIK3R3,ADCY1,ADCY8,CREB5","hsa04211:Longevity regulating pathway"
"6","1.96","KEGG_PATHWAY","Platelet activation","7","150","126","9375","2.58","1.51e-2","1.85e-1","3.47","9.83e-1","1.60e-1","4.03e-3","COL1A1,ADCY4,PIK3R3,PLA2G4A,PRKG2,ADCY1,ADCY8","hsa04611:Platelet activation"
"6","1.96","KEGG_PATHWAY","Longevity regulating pathway - multiple species","5","150","62","9375","1.85","1.68e-2","1.91e-1","5.04","9.89e-1","1.65e-1","3.05e-3","HSPA6,ADCY4,PIK3R3,ADCY1,ADCY8","hsa04213:Longevity regulating pathway - multiple species"
"6","1.96","WIKIPATHWAYS","Phosphodiesterases in neuronal function","5","160","56","9015","1.85","1.68e-2","3.38e-1","5.03","1.00e+0","3.29e-1","3.05e-3","PPP1R1B,ADCY4,PDE5A,ADCY1,ADCY8","WP4222:Phosphodiesterases in neuronal function"
"6","1.96","REACTOME_PATHWAY","Signaling by Hedgehog","7","179","136","11610","2.58","1.82e-2","4.47e-1","3.34","1.00e+0","4.39e-1","5.08e-3","TUBA1A,TUBB3,ADCY4,ADCY1,ADCY8,TUBA4A,CDON","R-HSA-5358351~Signaling by Hedgehog"
"6","1.96","REACTOME_PATHWAY","Hedgehog 'off' state","6","179","100","11610","2.21","1.87e-2","4.47e-1","3.89","1.00e+0","4.39e-1","4.45e-3","TUBA1A,TUBB3,ADCY4,ADCY1,ADCY8,TUBA4A","R-HSA-5610787~Hedgehog 'off' state"
"6","1.96","REACTOME_PATHWAY","Calmodulin induced events","4","179","37","11610","1.48","1.88e-2","4.47e-1","7.01","1.00e+0","4.39e-1","2.43e-3","CAMK4,ADCY4,ADCY1,ADCY8","R-HSA-111933~Calmodulin induced events"
"6","1.96","REACTOME_PATHWAY","CaM pathway","4","179","37","11610","1.48","1.88e-2","4.47e-1","7.01","1.00e+0","4.39e-1","2.43e-3","CAMK4,ADCY4,ADCY1,ADCY8","R-HSA-111997~CaM pathway"
"6","1.96","REACTOME_PATHWAY","Adenylate cyclase inhibitory pathway","3","179","14","11610","1.11","1.88e-2","4.47e-1","13.90","1.00e+0","4.39e-1","1.16e-3","ADCY4,ADCY1,ADCY8","R-HSA-170670~Adenylate cyclase inhibitory pathway"
"6","1.96","KEGG_PATHWAY","Cortisol synthesis and secretion","5","150","65","9375","1.85","1.96e-2","1.91e-1","4.81","9.95e-1","1.65e-1","3.75e-3","ADCY4,ADCY1,ADCY8,AGT,CREB5","hsa04927:Cortisol synthesis and secretion"
"6","1.96","KEGG_PATHWAY","Rap1 signaling pathway","9","150","212","9375","3.32","1.97e-2","1.91e-1","2.65","9.95e-1","1.65e-1","6.93e-3","ADCY4,PIK3R3,ADCY1,SIPA1L2,ADCY8,NGF,FGFR2,VEGFA,FGF10","hsa04015:Rap1 signaling pathway"
"6","1.96","KEGG_PATHWAY","Vascular smooth muscle contraction","7","150","134","9375","2.58","1.99e-2","1.91e-1","3.26","9.95e-1","1.65e-1","5.64e-3","ADM2,PRKCE,ADCY4,PLA2G4A,ADCY1,ADCY8,AGT","hsa04270:Vascular smooth muscle contraction"
"6","1.96","WIKIPATHWAYS","Myometrial relaxation and contraction pathways","8","160","156","9015","2.95","2.04e-2","3.58e-1","2.89","1.00e+0","3.48e-1","6.53e-3","JUN,GNG2,PKIA,PRKCE,ADCY4,ADCY1,ADCY8,RXFP1","WP289:Myometrial relaxation and contraction pathways"
