"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"6","1.96","KEGG_PATHWAY","Neuroactive ligand signaling","8","150","199","9375","2.95","3.93e-2","2.40e-1","2.51","1.00e+0","2.08e-1","1.45e-2","GNG2,SLC6A9,ADCY4,ADORA1,GRIK4,ADCY1,ADCY8,ADRA2A","hsa04082:Neuroactive ligand signaling"
"6","1.96","GOTERM_BP_DIRECT","cellular response to glucagon stimulus","3","256","25","19172","1.11","4.32e-2","7.06e-1","8.99","1.00e+0","7.00e-1","4.36e-3","ADCY4,ADCY1,ADCY8","GO:0071377~cellular response to glucagon stimulus"
"6","1.96","REACTOME_PATHWAY","PKA-mediated phosphorylation of CREB","3","179","22","11610","1.11","4.42e-2","7.25e-1","8.84","1.00e+0","7.12e-1","4.47e-3","ADCY4,ADCY1,ADCY8","R-HSA-111931~PKA-mediated phosphorylation of CREB"
"6","1.96","KEGG_PATHWAY","Growth hormone synthesis, secretion and action","6","150","122","9375","2.21","4.48e-2","2.51e-1","3.07","1.00e+0","2.18e-1","1.34e-2","SOCS1,ADCY4,PIK3R3,ADCY1,ADCY8,CREB5","hsa04935:Growth hormone synthesis, secretion and action"
"6","1.96","WIKIPATHWAYS","Envelope proteins and their potential roles in EDMD physiopathology","4","160","46","9015","1.48","4.71e-2","6.28e-1","4.90","1.00e+0","6.11e-1","8.74e-3","TGFB2,ADCY4,ADCY1,ADCY8","WP4535:Envelope proteins and their potential roles in EDMD physiopathology"
"6","1.96","KEGG_PATHWAY","Insulin secretion","5","150","86","9375","1.85","4.78e-2","2.63e-1","3.63","1.00e+0","2.27e-1","1.21e-2","CCKAR,ADCY4,ADCY1,ADCY8,CREB5","hsa04911:Insulin secretion"
"7","1.91","GOTERM_BP_DIRECT","cell surface receptor protein tyrosine kinase signaling pathway","9","256","124","19172","3.32","2.56e-4","4.62e-2","5.44","4.00e-1","4.58e-2","4.38e-5","EPHA5,BLNK,BDKRB2,NRG1,EPHB2,NGF,PAK3,MERTK,EPHB3","GO:0007169~cell surface receptor protein tyrosine kinase signaling pathway"
"7","1.91","GOTERM_MF_DIRECT","transmembrane receptor protein tyrosine kinase activity","5","259","54","19319","1.85","5.82e-3","3.72e-1","6.91","9.49e-1","3.72e-1","7.71e-4","EPHA5,EPHB2,MERTK,FGFR2,EPHB3","GO:0004714~transmembrane receptor protein tyrosine kinase activity"
"7","1.91","GOTERM_MF_DIRECT","ephrin receptor activity","3","259","14","19319","1.11","1.45e-2","4.53e-1","15.98","9.99e-1","4.53e-1","7.77e-4","EPHA5,EPHB2,EPHB3","GO:0005003~ephrin receptor activity"
"7","1.91","GOTERM_MF_DIRECT","transmembrane-ephrin receptor activity","3","259","15","19319","1.11","1.66e-2","4.69e-1","14.92","1.00e+0","4.69e-1","9.62e-4","EPHA5,EPHB2,EPHB3","GO:0005005~transmembrane-ephrin receptor activity"
"7","1.91","GOTERM_BP_DIRECT","axonal fasciculation","3","256","20","19172","1.11","2.86e-2","5.87e-1","11.23","1.00e+0","5.81e-1","2.27e-3","EPHA5,EPHB2,EPHB3","GO:0007413~axonal fasciculation"
"7","1.91","GOTERM_BP_DIRECT","ephrin receptor signaling pathway","4","256","51","19172","1.48","3.03e-2","5.89e-1","5.87","1.00e+0","5.83e-1","4.74e-3","EPHA5,EPHB2,PAK3,EPHB3","GO:0048013~ephrin receptor signaling pathway"
"7","1.91","GOTERM_MF_DIRECT","protein tyrosine kinase activity","6","259","138","19319","2.21","3.79e-2","7.41e-1","3.24","1.00e+0","7.41e-1","1.08e-2","EPHA5,RPS6KA5,EPHB2,MERTK,FGFR2,EPHB3","GO:0004713~protein tyrosine kinase activity"
"7","1.91","REACTOME_PATHWAY","EPH-ephrin mediated repulsion of cells","4","179","51","11610","1.48","4.32e-2","7.23e-1","5.09","1.00e+0","7.09e-1","7.77e-3","EPHA5,EPHB2,DNM1,EPHB3","R-HSA-3928665~EPH-ephrin mediated repulsion of cells"
"8","1.89","KEGG_PATHWAY","Gap junction","8","150","89","9375","2.95","5.16e-4","2.78e-2","5.62","1.30e-1","2.40e-2","8.42e-5","TUBA1A,TUBB3,TUBB,ADCY4,PRKG2,ADCY1,ADCY8,TUBA4A","hsa04540:Gap junction"
"8","1.89","REACTOME_PATHWAY","Post NMDA receptor activation events","7","179","88","11610","2.58","2.29e-3","2.40e-1","5.16","8.59e-1","2.36e-1","4.09e-4","TUBA1A,TUBB3,CAMK4,NRG1,ADCY1,ADCY8,TUBA4A","R-HSA-438064~Post NMDA receptor activation events"
"8","1.89","REACTOME_PATHWAY","L1CAM interactions","8","179","125","11610","2.95","3.09e-3","2.40e-1","4.15","9.29e-1","2.36e-1","6.93e-4","SPTBN4,RPS6KA5,TUBA1A,TUBB3,EPHB2,SCN1B,TUBA4A,DNM1","R-HSA-373760~L1CAM interactions"
"8","1.89","REACTOME_PATHWAY","Activation of NMDA receptors and postsynaptic events","7","179","101","11610","2.58","4.55e-3","2.43e-1","4.50","9.80e-1","2.38e-1","9.37e-4","TUBA1A,TUBB3,CAMK4,NRG1,ADCY1,ADCY8,TUBA4A","R-HSA-442755~Activation of NMDA receptors and postsynaptic events"
"8","1.89","REACTOME_PATHWAY","Neurotransmitter receptors and postsynaptic signal transmission","10","179","214","11610","3.69","5.72e-3","2.78e-1","3.03","9.93e-1","2.73e-1","1.77e-3","TUBA1A,GNG2,TUBB3,CAMK4,ADCY4,GRIK4,NRG1,ADCY1,ADCY8,TUBA4A","R-HSA-112314~Neurotransmitter receptors and postsynaptic signal transmission"
"8","1.89","REACTOME_PATHWAY","Recycling pathway of L1","5","179","52","11610","1.85","8.16e-3","3.17e-1","6.24","9.99e-1","3.11e-1","1.19e-3","RPS6KA5,TUBA1A,TUBB3,TUBA4A,DNM1","R-HSA-437239~Recycling pathway of L1"
"8","1.89","WIKIPATHWAYS","Parkin ubiquitin proteasomal system pathway","6","160","71","9015","2.21","8.19e-3","2.43e-1","4.76","9.80e-1","2.36e-1","1.57e-3","TUBA1A,TUBB3,TUBB,HSPA6,SNCAIP,TUBA4A","WP2359:Parkin ubiquitin proteasomal system pathway"
"8","1.89","REACTOME_PATHWAY","COPI-independent Golgi-to-ER retrograde traffic","5","179","56","11610","1.85","1.06e-2","3.34e-1","5.79","1.00e+0","3.28e-1","1.67e-3","TUBA1A,TUBB3,PLA2G4A,PAFAH1B3,TUBA4A","R-HSA-6811436~COPI-independent Golgi-to-ER retrograde traffic"
