"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids","Full Term"
"1","2.62","WIKIPATHWAYS","Small cell lung cancer","8","204","95","9015","2.35","5.50e-3","3.55e-1","3.72","9.17e-1","3.55e-1","1.35e-3","CDKN1C,LAMA2,GADD45B,COL4A1,COL4A4,COL4A3,LAMA3,PIK3R1","WP4658:Small cell lung cancer"
"1","2.62","REACTOME_PATHWAY","Integrin cell surface interactions","7","222","85","11610","2.05","5.57e-3","4.24e-1","4.31","9.93e-1","4.22e-1","1.19e-3","COL4A1,ITGA10,COL4A4,COL7A1,COL4A3,ITGA8,THBS1","R-HSA-216083~Integrin cell surface interactions"
"1","2.62","KEGG_PATHWAY","Focal adhesion","11","181","203","9375","3.23","5.72e-3","2.16e-1","2.81","7.81e-1","2.13e-1","1.90e-3","CCND3,LAMA2,COL4A1,ITGA10,COL4A4,COL4A3,LAMA3,ITGA8,RAC3,PIK3R1,THBS1","hsa04510:Focal adhesion"
"1","2.62","REACTOME_PATHWAY","Assembly of collagen fibrils and other multimeric structures","6","222","61","11610","1.76","5.98e-3","4.24e-1","5.14","9.95e-1","4.22e-1","1.06e-3","COL4A1,COL11A1,COL4A4,COL7A1,COL4A3,LAMA3","R-HSA-2022090~Assembly of collagen fibrils and other multimeric structures"
"1","2.62","REACTOME_PATHWAY","Fibronectin matrix formation","4","222","20","11610","1.17","6.11e-3","4.24e-1","10.46","9.95e-1","4.22e-1","4.96e-4","COL4A1,COL4A4,COL7A1,COL4A3","R-HSA-1566977~Fibronectin matrix formation"
"1","2.62","REACTOME_PATHWAY","Collagen degradation","6","222","64","11610","1.76","7.33e-3","4.30e-1","4.90","9.98e-1","4.28e-1","1.36e-3","COL4A1,MMP15,COL11A1,COL4A4,COL7A1,COL4A3","R-HSA-1442490~Collagen degradation"
"1","2.62","REACTOME_PATHWAY","Infection with Enterobacteria","5","222","41","11610","1.47","7.46e-3","4.30e-1","6.38","9.99e-1","4.28e-1","1.05e-3","LAMA2,COL4A1,COL4A4,COL4A3,LAMA3","R-HSA-9640148~Infection with Enterobacteria"
"1","2.62","GOTERM_BP_DIRECT","collagen fibril organization","6","315","75","19172","1.76","7.74e-3","7.18e-1","4.87","1.00e+0","7.17e-1","1.46e-3","COL4A1,COL11A1,COL4A4,COL7A1,COL4A3,DPT","GO:0030199~collagen fibril organization"
"1","2.62","REACTOME_PATHWAY","NCAM1 interactions","5","222","42","11610","1.47","8.12e-3","4.30e-1","6.23","9.99e-1","4.28e-1","1.17e-3","CACNB2,GDNF,COL4A1,COL4A4,COL4A3","R-HSA-419037~NCAM1 interactions"
"1","2.62","KEGG_PATHWAY","Small cell lung cancer","7","181","93","9375","2.05","8.85e-3","2.61e-1","3.90","9.05e-1","2.57e-1","2.09e-3","LAMA2,GADD45B,COL4A1,COL4A4,COL4A3,LAMA3,PIK3R1","hsa05222:Small cell lung cancer"
"1","2.62","REACTOME_PATHWAY","Collagen chain trimerization","5","222","44","11610","1.47","9.56e-3","4.66e-1","5.94","1.00e+0","4.64e-1","1.45e-3","COL4A1,COL11A1,COL4A4,COL7A1,COL4A3","R-HSA-8948216~Collagen chain trimerization"
"1","2.62","KEGG_PATHWAY","Human papillomavirus infection","14","181","333","9375","4.11","1.18e-2","3.13e-1","2.18","9.57e-1","3.08e-1","5.09e-3","LAMA2,FZD5,LAMA3,FZD8,PIK3R1,AXIN2,THBS1,FOXO1,CCND3,COL4A1,ITGA10,COL4A4,COL4A3,ITGA8","hsa05165:Human papillomavirus infection"
"1","2.62","REACTOME_PATHWAY","ECM proteoglycans","6","222","76","11610","1.76","1.48e-2","6.18e-1","4.13","1.00e+0","6.16e-1","3.28e-3","LAMA2,COL4A1,COL4A4,COL4A3,LAMA3,ITGA8","R-HSA-3000178~ECM proteoglycans"
"1","2.62","GOTERM_BP_DIRECT","endodermal cell differentiation","4","315","35","19172","1.17","1.93e-2","1.00e+0","6.96","1.00e+0","1.00e+0","2.51e-3","MMP15,COL11A1,COL7A1,LAMA3","GO:0035987~endodermal cell differentiation"
"1","2.62","WIKIPATHWAYS","Focal adhesion PI3K Akt mTOR signaling","14","204","304","9015","4.11","1.98e-2","5.49e-1","2.04","1.00e+0","5.49e-1","9.09e-3","LAMA2,COL11A1,LAMA3,IRS2,PIK3R1,HIF3A,FOXO3,THBS1,FOXO1,COL4A1,ITGA10,COL4A4,ITGA8,FGF22","WP3932:Focal adhesion PI3K Akt mTOR signaling"
"1","2.62","WIKIPATHWAYS","Cancer pathways","20","204","509","9015","5.87","2.06e-2","5.49e-1","1.74","1.00e+0","5.49e-1","1.12e-2","LAMA2,GADD45B,FZD5,TXNRD1,NCOA3,DAPK2,ZBTB16,LAMA3,FZD8,PIK3R1,AXIN2,RASGRP2,FOXO1,TGFBR2,DLL4,CCND3,COL4A1,COL4A4,COL4A3,RAC3","WP5434:Cancer pathways"
